EVENT CATEGORY	EVENT GROUP	EVENT SUBGROUP	EVENT TYPE	PLACE	EVENT START DATE	COMMENTS	FATALITIES	INJURED / INFECTED	EVACUATED	ESTIMATED TOTAL COST	NORMALIZED TOTAL COST	EVENT END DATE	FEDERAL DFAA PAYMENTS	PROVINCIAL DFAA PAYMENTS	PROVINCIAL DEPARTMENT PAYMENTS	MUNICIPAL COSTS	OGD COSTS	INSURANCE PAYMENTS	NGO PAYMENTS	UTILITY - PEOPLE AFFECTED	MAGNITUDE	
Incident	Technology	Fire	Non-Residential	Ottawa ON and Hull QC	26/04/1900 12:00:00 AM	Ottawa ON and Hull QC, April 26, 1900.  A small chimney fire in Hull quickly spread to neighbouring buildings and then engulfed the Eddy lumberyard.  A strong wind carried the fire to the Ottawa side.  By the time the fire ended, 3000 buildings had been destroyed in the Ottawa-Hull region.	7	0	15000			26/04/1900 12:00:00 AM								0	0.0	
Incident	Technology	Explosion	Non-Residential	Grand Forks BC	01/01/1901 12:00:00 AM	Grand Forks BC, 1901. An explosion in the Union Mine killed 64 people.	64	0	0			01/01/1901 12:00:00 AM								0	0.0	
Incident	Technology	Infrastructure failure	Manufacturing / Industry	Wellington BC	01/01/1901 12:00:00 AM	Wellington BC, 1901. Sixteen people were entombed in the #2 slope of the Wellington Colliery, in the Kooteney region.	16	0	0			01/01/1901 12:00:00 AM								0	0.0	
Incident	Technology	Explosion	Non-Residential	Cranberry BC	01/01/1902 12:00:00 AM	Cranberry BC, 1902. An explosion in the Extension Colliery killed 32 people.	32	0	0			01/01/1902 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Saint John River Basin NB	01/03/1902 12:00:00 AM	Saint John River Basin NB, March 1902. An unusually early break-up and downstream movement of ice cover on the Saint John River resulted from heavy rains, warm temperatures, and raised water levels. A total of 15 ice jams resulted from the raised water levels, causing extensive damage, including washouts of bridges, roads and railways. The lumber industry was also affected, where damage to mills and loss of stock were reported.	2	0	0			01/03/1902 12:00:00 AM								0	0.0	
Incident	Technology	Explosion	Non-Residential	Fernie BC	22/05/1902 12:00:00 AM	Fernie BC, April 22, 1902.  An explosion in the #2 Mine Coal Creek killed 125 people.	125	0	0			22/05/1902 12:00:00 AM								0	0.0	
Incident	Technology	Explosion	Non-Residential	Grand Forks BC	01/01/1903 12:00:00 AM	Grand Forks BC, 1903. An explosion in the Union Mine killed 16 people.	16	0	0			01/01/1903 12:00:00 AM								0	0.0	
Disaster	Natural	Geological	Landslide	Frank AB	29/04/1903 12:00:00 AM	Frank AB, April 29, 1903. 70 dead; 60 million tonnes of limestone came crashing down Turtle Mountain on to the small mining town of Frank; the landslide buried part of the town, covering roads, railways and homes; the Old Man River and the CP Rail Tracks were buried under 30 metres of rock.	70	23	0			29/04/1903 12:00:00 AM								0	0.0	
Incident	Technology	Explosion	Non-Residential	Carbonado BC	01/01/1904 12:00:00 AM	Carbonado BC, 1904.  An explosion in the Carbonado Colliery killed 14 people.	14	0	0			01/01/1904 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Edmonton AB	01/09/1992 12:00:00 AM	Edmonton AB, September 1, 1992.	0	0	0	22522000.0000	1608714.3	01/09/1992 12:00:00 AM			14434443.0000			8087557.0000		0	0.0	
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Calgary AB	17/07/1995 12:00:00 AM	Calgary AB, July 17, 1995.	0	0	0	74559612.0000	5106822.7	17/07/1995 12:00:00 AM			18858612.0000			55701000.0000		0	0.0	
Disaster	Natural	Geological	Landslide	Upper Arrow Lake BC	28/02/1903 12:00:00 AM	Upper Arrow Lake BC, February 28, 1903.  A mass of rock estimated to be around 250, 000 m³ broke away from the bluff of a cliff, generating waves of up to 3 m when it hit the lake.  A number of boats and a wharf were damaged, creating havoc with shipping on Upper Arrow Lake .	0	0	0			28/02/1903 12:00:00 AM								0	0.0	
Incident	Technology	Fire	Non-Residential	Toronto ON	19/04/1904 12:00:00 AM	Toronto ON, April 19, 1904. "The Great Toronto Fire"; on the evening of April 19, 1904 a fire started in a building in downtown Toronto; due to low water pressure, poor fire-fighting equipment and heavy winds, the fire spread quickly; 98 buildings burned; no fatalities.	0	0	0			19/04/1904 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Red River MB	24/04/1904 12:00:00 AM	Red River MB, April 24, 1904. Severe flooding in the Winnipeg area of the Red River.	0	0	0			24/04/1904 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Nova Scotia	15/02/1905 12:00:00 AM	Nova Scotia, February 15-17, 1905. Most severe storm of the "Year of the Big Snow."	0	0	0			17/02/1905 12:00:00 AM								0	0.0	
Disaster	Natural	Geological	Landslide	Spences Bridge BC	13/08/1905 12:00:00 AM	Spences Bridge BC, August 13, 1905. A large gravel bank broke away from a mountain side and came crashing down on a First Nation reserve destroying homes and the local church; 15 dead; the landslide into the Thompson River caused a wave which swept victims away.	15	0	0			13/08/1905 12:00:00 AM								0	0.0	
Incident	Technology	Transportation accident	Marine	Vancouver Island (BC)	01/01/1906 12:00:00 AM	British Columbia, 1906. 126 dead: wreck of "Valencia" off Vancouver Island.	126	0	0			01/01/1906 12:00:00 AM								0	0.0	
Incident	Technology	Infrastructure failure	Transportation	Quebec City QC	29/08/1907 12:00:00 AM	Quebec City QC, August 29, 1907. Nearing the completion of construction of the Quebec Bridge, the southern span of the bridge over the Saint Lawrence River collapsed, killing 75 workmen.	75	0	0			29/08/1907 12:00:00 AM								0	0.0	
Disaster	Natural	Geological	Landslide	Notre-Dame-de-la-Salette QC	26/04/1908 12:00:00 AM	Notre-Dame-de-la-Salette QC, April 26, 1908. 33 dead, many injured; a tract of land 2.4 km wide and extending 450 metres back slid into the Lièvre River, carrying with it two houses, and crashed into a row of buildings on the opposite side.	33	0	0			26/04/1908 12:00:00 AM								0	0.0	
Incident	Technology	Fire	Residential	Fernie BC	01/08/1908 12:00:00 AM	Fernie BC, August 1-3 1908. 100 dead; 6000 homeless.	100	0	6000			03/08/1908 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Chester NB	04/01/1909 12:00:00 AM	Chester NB, January 4, 1909. Mild weather caused ice to travel and possibly jam, creating floods which caused expensive damage to highway bridges and roads; a 9-year old child fell from a small bridge and drowned in a flood swollen stream near Chester.	1	0	0			04/01/1909 12:00:00 AM								0	0.0	
Disaster	Natural	Geological	Landslide	Burnaby and New Westminster BC	28/11/1909 12:00:00 AM	Burnaby and New Westminster BC, November 28, 1909. 22 dead; 15 injured; slump of railway embankment; trail derailed.	22	15	0			28/11/1909 12:00:00 AM								0	0.0	
Incident	Technology	Explosion	Non-Residential	Crowsnest Pass AB	01/01/1910 12:00:00 AM	Crowsnest Pass AB, 1910. Bellevue Mine explosion killed 30.	30	0	0			01/01/1910 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Drought	Prairie provinces	01/01/1910 12:00:00 AM	Prairie provinces, 1910. Cereal crop drought occurred in parts of the Prairies.	0	0	0			01/01/1910 12:00:00 AM								0	0.0	
Incident	Technology	Transportation accident	Rail	Spanish River ON	21/01/1910 12:00:00 AM	Spanish River ON, January 21, 1910. 63 dead, 20 injured: the back half of a CPR passenger train, en route to Minneapolis, left the track after it struck the end of a bridge.	63	20	0			21/01/1910 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Avalanche	Rogers Pass BC	05/03/1910 12:00:00 AM	Rogers Pass BC, March 5, 1910. 62 dead (CPR workers), one survivor; an avalanche struck workers as they cleared the tracks of snow dumped by a previous slide.	62	0	0			05/03/1910 12:00:00 AM								0	0.0	
Disaster	Natural	Geological	Landslide	St-Alphonse-de-Bagotville QC	15/04/1910 12:00:00 AM	St-Alphonse-de-Bagotville QC, April 15, 1910.  Construction camp buried by landslide in leda clay caused by blasting during construction of railway.	4	0	0			15/04/1910 12:00:00 AM								0	0.0	
Disaster	Natural	Geological	Landslide	Coucoucache QC	18/04/1910 12:00:00 AM	Coucoucache QC, April 18, 1910.  Slump of railway embankment; work train derailed.	6	0	0			18/04/1910 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Wildfire	Cochrane ON	11/07/1911 12:00:00 AM	Cochrane and northern region ON, July 11, 1911. A Forest fire resulted in 73 deaths (unofficially in the hundreds), 200 made homeless, 804,650 sq km destroyed.	73	0	200			11/07/1911 12:00:00 AM								0	0.0	
